Year,Title,Director,Genres,LB_Rating,TMDb_Popularity
2001,Cowboy Bebop: The Movie,Shinichiro Watanabe,"Action, Animation, Science Fiction",4.12,3.9993
2001,0cm⁴,Sion Sono,Drama,3.48,3.8855
2002,One Piece: Dream Soccer King!,Munehisa Sakai,"Fantasy, Comedy, Animation",3.24,4.4067
2002,Godzilla Against MechaGodzilla,Masaaki Tezuka,"Action, Science Fiction, Thriller",3.46,4.7885
2002,Armitage: Dual Matrix,Katsuhito Akiyama,"Thriller, Action, Animation, Science Fiction, Adventure",3.13,4.028
2002,Jam Films,Yukihiko Tsutsumi,"Comedy, Drama, Fantasy",3.36,5.1495
2002,The Cat Returns,Hiroyuki Morita,"Adventure, Fantasy, Animation, Drama, Family",3.64,5.1001
2003,Naruto: The Lost Story - Mission: Protect the Waterfall Village!,Hayato Date,"Animation, Action, Adventure",None,5.1293
2003,g@me.,Satoshi Isaka,Thriller,3.31,4.7634
2003,SHORT FILMS,Pierre Taki,Drama,None,3.99
2003,"One Piece Special: Open Upon the Great Sea! A Father's Huge, HUGE Dream!",Unknown,"Animation, Action, Adventure, TV Movie",3.17,3.7412
2003,Aizome Kyôko vs Kikuchi Eri: daburu G supotto,Kyōko Aizome,,None,3.7002
2004,Howl's Moving Castle,Hayao Miyazaki,"Fantasy, Animation, Adventure",4.36,14.3184
2004,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Comedy, Action, Animation, Adventure",3.09,5.6554
2004,Naruto OVA 3: Hidden Leaf Village Grand Sports Festival!,Hayato Date,"Action, Animation, Comedy",None,3.9668
2004,Bella Grazie,Mana Yasuda,Drama,None,3.7561
2004,One Piece: Curse of the Sacred Sword,Kazuhisa Takenouchi,"Animation, Adventure, Action",2.88,2.9808
2005,Always - Sunset on Third Street,Takashi Yamazaki,"Comedy, Drama",None,4.2842
2005,Shinobi: Heart Under Blade,Ten Shimoyama,Action,3.21,4.9203
2005,Naruto the Movie: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Animation, Adventure, Fantasy",2.78,4.6302
2005,xxxHOLiC The Movie: A Midsummer Night's Dream,Tsutomu Mizushima,"Animation, Comedy, Drama, Mystery, Fantasy",3.68,5.0584
